2013-10-21 0
2013-10-22 2.61
2013-10-23 9.96
2013-10-24 14.44
2013-10-25 23.74
2013-10-26 26.36
2013-10-28 35.65
2013-10-29 38.77
2013-10-30 39.29
2013-10-31 39.59
2013-11-01 41.92
2013-11-02 45.17
2013-11-03 50.41
2013-11-08 70.47
2013-11-15 126
2013-11-20 147
2013-11-21 155
2013-11-23 184
2013-11-26 232
2013-11-27 254
2013-11-29 286
2013-11-30 297
2013-12-01 305
2013-12-05 334
2013-12-06 360
2013-12-07 387
2013-12-08 406
2013-12-09 424
2013-12-12 504
2013-12-13 519
2013-12-14 536
2013-12-16 578
2013-12-17 596
2013-12-18 610
2013-12-19 618
2013-12-20 626
2013-12-21 638
2013-12-22 649
2013-12-23 667
2013-12-24 693
2013-12-25 714
2013-12-26 728
2013-12-27 742
2013-12-28 751
2013-12-29 760
2013-12-30 782
2013-12-31 804
2014-01-01 825
2014-01-02 845
2014-01-03 866
2014-01-04 887
2014-01-05 901
2014-01-06 928
2014-01-07 956
2014-01-08 979
2014-01-09 1000
2014-01-10 1015
2014-01-11 1028
2014-01-12 1040
2014-01-13 1048
2014-01-14 1058
2014-01-15 1078
2014-01-16 1091
2014-01-17 1110
2014-01-18 1132
2014-01-19 1150
2014-01-20 1159
2014-01-21 1173
2014-01-22 1192
2014-01-23 1216
2014-01-24 1239
2014-01-25 1255
2014-01-26 1271
2014-01-27 1291
2014-01-28 1316
2014-01-29 1340
2014-01-30 1356
2014-01-31 1377
2014-02-01 1401
2014-02-02 1421
2014-02-03 1444
2014-02-04 1463
2014-02-05 1482
2014-02-06 1504
2014-02-07 1527
2014-02-08 1546
